Akaa,8.8,13.7
Alajärvi,11.2,17.2
Alavieska,11.6,14.9
Alavus,11.4,18.5
Asikkala,11.7,21.4
Askola,6.4,11.4
Aura,6.2,11.6
Brändö,12.4,19.2
Eckerö,10.0,13.8
Enonkoski,15.4,25.1
Enontekiö,8.9,20.4
Espoo,4.8,9.7
Eura,11.5,18.4
Eurajoki,8.9,16.4
Evijärvi,12.4,17.4
Finström,7.7,13.3
Forssa,11.6,20.1
Föglö,13.3,21.6
Geta,11.2,12.2
Haapajärvi,8.9,15.9
Haapavesi,9.3,14.1
Hailuoto,12.0,25.1
Halsua,14.4,22.2
Hamina,10.9,18.5
Hammarland,8.4,12.7
Hankasalmi,12.9,17.4
Hanko,9.3,20.5
Harjavalta,11.7,22.3
Hartola,14.2,23.5
Hattula,7.4,13.2
Hausjärvi,7.4,13.3
Heinola,11.6,21.9
Heinävesi,15.8,24.7
Helsinki,6.8,10.8
Hirvensalmi,15.0,23.6
Hollola,7.2,14.3
Honkajoki,11.7,19.2
Huittinen,11.9,18.3
Humppila,11.0,16.9
Hyrynsalmi,15.0,26.4
Hyvinkää,8.0,14.1
Hämeenkoski,12.1,19.2
Hämeenkyrö,9.6,14.3
Hämeenlinna,10.1,15.8
Ii,8.2,12.5
Iisalmi,10.2,17.1
Iitti,11.5,20.3
Ikaalinen,11.9,19.6
Ilmajoki,9.1,12.4
Ilomantsi,16.2,24.9
Imatra,11.9,19.2
Inari,9.0,19.1
Inkoo,8.1,14.3
Isojoki,16.3,22.1
Isokyrö,11.5,16.9
Jalasjärvi,11.8,17.9
Janakkala,8.8,13.5
Joensuu,8.5,15.0
Jokioinen,9.9,16.5
Jomala,5.0,8.6
Joroinen,10.7,19.7
Joutsa,14.8,25.1
Juankoski,12.5,21.6
Juuka,14.5,24.9
Juupajoki,12.2,20.4
Juva,14.2,23.5
Jyväskylä,6.7,11.7
Jämijärvi,13.1,20.7
Jämsä,11.8,20.2
Järvenpää,5.3,12.5
Kaarina,7.1,13.8
Kaavi,14.1,20.4
Kajaani,8.9,14.8
Kalajoki,9.5,16.0
Kangasala,7.4,12.5
Kangasniemi,15.1,24.6
Kankaanpää,9.9,18.2
Kannonkoski,15.8,24.2
Kannus,8.8,16.0
Karijoki,16.5,21.8
Karkkila,9.6,15.9
Karstula,13.7,21.4
Karvia,14.6,23.3
Kaskinen,11.2,31.0
Kauhajoki,10.0,17.4
Kauhava,12.0,18.2
Kauniainen,9.2,13.8
Kaustinen,9.2,14.3
Keitele,13.9,23.1
Kemi,10.6,16.4
Kemijärvi,15.1,25.3
Keminmaa,8.1,16.9
Kemiönsaari,13.9,21.1
Kempele,4.6,10.5
Kerava,5.7,12.9
Keuruu,12.8,20.9
Kihniö,13.5,20.3
Kinnula,12.0,21.2
Kirkkonummi,4.4,10.3
Kitee,13.3,24.5
Kittilä,9.1,11.6
Kiuruvesi,13.2,19.4
Kivijärvi,14.7,27.4
Kokemäki,12.4,18.5
Kokkola,8.2,13.7
Kolari,9.7,16.4
Konnevesi,14.3,21.3
Kontiolahti,5.1,10.9
